row_id,language,part,unit,unit_title,source_markdown,line,figure_number,caption,image_alt_in_markdown,image_file,image_exists,image_dimensions,image_format,alt_text,long_description,decorative,review_status,reviewer,notes,zh_reference_caption,zh_reference_alt_text
ALT-0011,en,Part 2: Text Pre-training Data Engineering,Ch05,"Chapter 5: Cleaning, Deduplication, and Decontamination",docs/en/part2/ch05_cleaning_dedup.md,410,5-2,"Figure 5-2: Quality Filtering Funnel and Spot-Check Feedback Loop — The funnel on the left shows the data retention rate at each stage; the feedback loop on the right shows how manual spot-checks drive continuous iterative optimization of filtering rules. Source: original illustration; Alt text: Quality filtering funnel and spot-check feedback loop diagram, showing the cyclic relationship among rule-based filtering, model scoring, deduplication, manual spot-checks, and rule write-back",Figure 5-2: Quality Filtering Funnel and Spot-Check Feedback Loop,docs/images/part2/quality_filter_funnel_loop.svg,yes,768x768,svg,"Quality filtering funnel and spot-check feedback loop diagram, showing the cyclic relationship among rule-based filtering, model scoring, deduplication, manual spot-checks, and rule write-back.",,no,Draft,,,图5-2：质量过滤漏斗与抽检闭环 —— 左侧漏斗展示每阶段的数据留存率，右侧闭环展示人工抽检如何驱动过滤规则的持续迭代优化。来源：本书自绘；Alt text：质量过滤漏斗与抽检闭环图，展示规则过滤、模型评分、去重、人工抽检和规则回写之间的循环关系,图5-2：质量过滤漏斗与抽检闭环图
ALT-0012,en,Part 2: Text Pre-training Data Engineering,Ch06,"Chapter 6: Tokenization, Serialization, and Efficient Loading",docs/en/part2/ch06_tokenization_loading.md,324,6-1,"Figure 6-1: Throughput bottleneck diagnosis flowchart — starting from abnormal GPU utilization, a three-level decision tree is used to locate disk I/O bottlenecks, CPU preprocessing bottlenecks, and PCIe transfer bottlenecks, with corresponding remediation steps. Source: original illustration from this book; Alt text: throughput bottleneck diagnosis flowchart showing the decision paths from abnormal GPU utilization to disk I/O, CPU preprocessing, and PCIe transfer investigation",Figure 6-1: Throughput Bottleneck Diagnosis Flowchart,docs/images/part2/io_bottleneck_diagnosis_flow.svg,yes,768x768,svg,"throughput bottleneck diagnosis flowchart showing the decision paths from abnormal GPU utilization to disk I/O, CPU preprocessing, and PCIe transfer investigation.",,no,Draft,,,图6-1：吞吐瓶颈诊断流程图 —— 从 GPU 利用率异常出发，通过三级决策树定位磁盘 I/O 瓶颈、CPU 预处理瓶颈和 PCIe 传输瓶颈，并给出对应的修复方案。来源：本书自绘；Alt text：吞吐瓶颈诊断流程图，展示从 GPU 利用率异常到磁盘 I/O、CPU 预处理和 PCIe 传输排查的决策路径,图6-1：吞吐瓶颈诊断流程图
ALT-0013,en,Part 2: Text Pre-training Data Engineering,Ch06,"Chapter 6: Tokenization, Serialization, and Efficient Loading",docs/en/part2/ch06_tokenization_loading.md,400,6-2,"Figure 6-2: LLM training input pipeline layered architecture — the complete five-stage path from tokenization, serialization, data mixing, and packing to DataLoader GPU feeding, with the two highest-frequency bottleneck risk points (disk I/O and CPU-GPU transfer) annotated at the bottom. Source: original illustration from this book; Alt text: training input pipeline layer diagram showing the sequential relationship between tokenization, serialization, mixing, packing, DataLoader, and GPU feeding",Figure 6-2: Training Input Pipeline Layer Diagram,docs/images/part2/training_input_pipeline_layers.svg,yes,768x768,svg,"training input pipeline layer diagram showing the sequential relationship between tokenization, serialization, mixing, packing, DataLoader, and GPU feeding.","Review against the figure and surrounding text in Chapter 6: Tokenization, Serialization, and Efficient Loading; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图6-2：LLM 训练输入管道分层架构 —— 从分词、序列化、数据混采、Packing 到 DataLoader GPU 馈送的五阶段完整路径，底部标注了两个最高频的瓶颈风险点（磁盘 I/O 和 CPU↔GPU 传输）。来源：本书自绘；Alt text：训练输入管道分层图，展示分词、序列化、混采、Packing、DataLoader 和 GPU 馈送之间的顺序关系,图6-2：训练输入管道分层图
ALT-0014,en,Part 2: Text Pre-training Data Engineering,Ch07,"Chapter 7: Data Evaluation, Quality Closed Loop, and Operational Iteration",docs/en/part2/ch07_data_operations.md,63,7-1,"Figure 7-1: Data Operations Flywheel — The left side shows the high-cost startup zone; the right side shows the gradually accumulated cycle of automated, high-quality data assets formed after long-term model evaluation and root-cause analysis feedback. Source: Original illustration by the authors. Alt text: Data operations flywheel diagram showing the cyclical relationship among data production, model evaluation, root-cause analysis, rule write-back, and asset reuse",Figure 7-1: Data Operations Flywheel,docs/images/part2/data_operations_flywheel.svg,yes,768x768,svg,"Data operations flywheel diagram showing the cyclical relationship among data production, model evaluation, root-cause analysis, rule write-back, and asset reuse.",,no,Draft,,,图7-1：数据运营飞轮图 —— 左侧展示高成本的起步区，右侧展示经过长期模型评估与根因分析反哺后，逐渐形成的自动化、高质量数据资产积累循环。来源：本书自绘；Alt text：数据运营飞轮图，展示数据生产、模型评估、根因分析、规则回写和资产复用之间的循环关系,图7-1：数据运营飞轮图
ALT-0015,en,Part 2: Text Pre-training Data Engineering,Ch07,"Chapter 7: Data Evaluation, Quality Closed Loop, and Operational Iteration",docs/en/part2/ch07_data_operations.md,280,7-2,"Figure 7-2: Data Evaluation Feedback Loop — A circular architecture proceeding from sampling-based blind review to root-cause investigation triggered by metric anomalies, followed by targeted system governance actions. Source: Original illustration by the authors. Alt text: Data evaluation feedback loop diagram showing the closed-loop relationship among sampling evaluation, metric anomalies, root-cause investigation, governance actions, and rule updates",Figure 7-2: Data Evaluation Feedback Loop,docs/images/part2/data_evaluation_loop.svg,yes,848x708,svg,"Data evaluation feedback loop diagram showing the closed-loop relationship among sampling evaluation, metric anomalies, root-cause investigation, governance actions, and rule updates.",,no,Draft,,,图7-2：数据评估闭环图 —— 从抽取式盲审到针对评估指标启动根因排查，再针对具体现象采取系统治理动作的环形架构。来源：本书自绘；Alt text：数据评估闭环图，展示抽样评估、指标异常、根因排查、治理动作和规则更新之间的闭环,图7-2：数据评估闭环图
ALT-0016,en,Part 3: Multimodal Data Engineering,Ch08,Chapter 8: Image-Text Pair Data Engineering,docs/en/part3/ch08_multimodal_image.md,58,8-1,"Figure 8-1: Overview of multimodal image-text data engineering. The pipeline starts from DOM-tree crawling and PDF parsing, then moves through format parsing, watermark filtering, CLIP semantic alignment, interleaved-sequence assembly, and tokenized representation. Distributed computing and metadata form the foundation across the pipeline. Source: drawn for this book. Alt text: an overview of image-text data engineering showing DOM extraction, image download, format parsing, filtering, semantic alignment, recaptioning, and sequence assembly",Figure 8-1: Overview of image-text data engineering,docs/images/part3/multimodal_data_panorama.svg,yes,768x768,svg,"an overview of image-text data engineering showing DOM extraction, image download, format parsing, filtering, semantic alignment, recaptioning, and sequence assembly.",,no,Draft,,,图8-1：多模态图文数据工程全景图 —— 从最左侧的 DOM 树抓取与 PDF 解析起始，依次穿过格式解析、水印过滤、CLIP 语义对齐、直至最右侧的交错序列拼装与 Token 化表示。分布式计算与 Metadata 是横跨底层的核心支撑。来源：本书自绘；Alt text：图文数据工程全景图，展示 DOM 抽取、图片下载、格式解析、过滤、语义对齐、重标注和序列拼装之间的流程,图8-1：图文数据工程全景图
ALT-0017,en,Part 3: Multimodal Data Engineering,Ch08,Chapter 8: Image-Text Pair Data Engineering,docs/en/part3/ch08_multimodal_image.md,256,8-2,"Figure 8-2: Image semantic alignment and filtering flow. A CLIP- and heuristic-rule-based quantitative decision tree filters out low-match samples, sends medium-match but high-value images to the recaptioning pipeline, and finally stores zero-padded or dynamically sliced images in the training pool. Source: drawn for this book. Alt text: an image semantic alignment and filtering flow showing quality filtering, CLIP scoring, recaptioning, dynamic slicing, and training-pool ingestion",Figure 8-2: Image semantic alignment and filtering flow,docs/images/part3/image_semantic_alignment_flow.svg,yes,768x840,svg,"an image semantic alignment and filtering flow showing quality filtering, CLIP scoring, recaptioning, dynamic slicing, and training-pool ingestion.",,no,Draft,,,图8-2：图像语义对齐与过滤流程图 —— 展示基于 CLIP 与启发式规则的量化决策树，将低匹配样本筛出，将中等匹配但高价值图片送往 Re-captioning 流水线，最后将图片 Zero-pad 或动态切分后存入训练池。来源：本书自绘；Alt text：图像语义对齐与过滤流程图，展示质量过滤、CLIP 打分、重标注、动态切分和训练池入库之间的路径,图8-2：图像语义对齐与过滤流程图
ALT-0018,en,Part 3: Multimodal Data Engineering,Ch08,Chapter 8: Image-Text Pair Data Engineering,docs/en/part3/ch08_multimodal_image.md,272,8-3,"Figure 8-3: AnyRes dynamic multi-resolution patching. The core idea is that the high-resolution panoramic input on the left is no longer forced into a square. Instead, it is divided by an adaptive grid into $1 \times 3$ native-resolution local patches and paired with a global thumbnail in the upper-right corner before entering the vision encoder, preserving both high-frequency local features and global semantics. Source: drawn for this book. Alt text: AnyRes dynamic multi-resolution patching showing a panorama divided into local patches and combined with a global thumbnail",Figure 8-3: AnyRes dynamic multi-resolution patching,docs/images/part3/anyres_dynamic_patching.svg,yes,768x382.5,svg,AnyRes dynamic multi-resolution patching showing a panorama divided into local patches and combined with a global thumbnail.,,no,Draft,,,图8-3：AnyRes 动态多分辨率切割算法原理图 —— 展示 AnyRes 的核心思想：左侧的超长全景图（High-Res Input）不再被强制压缩，而是被自适应网格（Adaptive Grid）划分为 $1 \times 3$ 个原生分辨率的局部图像块（Local Patches），同时结合右上方全局缩略图（Global Thumbnail）一同送入 Vision Encoder，以保留高频局部特征与宏观语义。来源：本书自绘；Alt text：AnyRes 动态多分辨率切割算法原理图，展示全景图被切成局部块并与全局缩略图共同输入视觉编码器,图8-3：AnyRes 动态多分辨率切割算法原理图
ALT-0019,en,Part 3: Multimodal Data Engineering,Ch09,Chapter 9: Re-captioning and Document Understanding,docs/en/part3/ch09_recaptioning_ocr.md,165,9-1,"Figure 9-1: Recaptioning and OCR dual-track enhancement. The left side shows a semantic vision track for dense narrative descriptions; the right side shows a structural text track containing DOM layout segmentation and table matrices. The two streams are fused into a unified hybrid supervision template. Source: drawn for this book. Alt text: a recaptioning and OCR dual-track enhancement diagram showing visual recaptioning, OCR structure extraction, BBox injection, and hybrid supervision",Figure 9-1: Recaptioning and OCR dual-track enhancement,docs/images/part3/recaptioning_ocr_pipeline.svg,yes,768x768,svg,"a recaptioning and OCR dual-track enhancement diagram showing visual recaptioning, OCR structure extraction, BBox injection, and hybrid supervision.",,no,Draft,,,图9-1：重标注与 OCR 增强联合的双轨管道图（Dual-track Pipeline） —— 左侧展示语义密集叙述流（Semantic Vision Track），右侧展示包含 DOM 排版分割与表格矩阵的高密度结构流（Structural Text Track），最终融合为统一的混合监督模板格式。来源：本书自绘；Alt text：重标注与 OCR 双流线增强图，展示视觉重描述、OCR 结构提取、BBox 注入和混合监督格式之间的关系,图9-1：重标注与 OCR 双流线增强图
ALT-0020,en,Part 3: Multimodal Data Engineering,Ch09,Chapter 9: Re-captioning and Document Understanding,docs/en/part3/ch09_recaptioning_ocr.md,197,9-2,"Figure 9-2: Document structure layout-to-token mapping. The left side shows a fragment of a two-column academic report. The system first uses bounding-box arrays to locate titles, body text, charts, and formula regions. The right side shows how outputs from specialized models such as Nougat and PaddleOCR are post-processed into hierarchical Markdown text and rich text streams with discrete coordinates [xy]. Source: drawn for this book. Alt text: document layout-to-token mapping showing a page converted by layout detection, OCR, formula parsing, and coordinate labeling into hierarchical text",Figure 9-2: Document structure layout-to-token mapping,docs/images/part3/document_structure_sample.svg,yes,768x768,svg,"document layout-to-token mapping showing a page converted by layout detection, OCR, formula parsing, and coordinate labeling into hierarchical text.",,no,Draft,,,图9-2：文档结构 Layout-to-Token 映射图（Document Structure Layout-to-Token Mapping） —— 左半区展示一份双栏学术报告残页；系统首先通过 Bounding Box 阵列定位标题、正文、图表和公式区域；右半区展示 Nougat、PaddleOCR 等特化模型输出如何经脚本后处理，归并为层级化 Markdown 文本与离散坐标 [xy] 的富文本数据流。来源：本书自绘；Alt text：文档结构 Layout-to-Token 映射图，展示文档页面被版面检测、OCR、公式解析和坐标标注转换为层级文本序列,图9-2：文档结构 Layout-to-Token 映射图
ALT-0021,en,Part 3: Multimodal Data Engineering,Ch10,Chapter 10: Video and Audio Data Engineering,docs/en/part3/ch10_video_audio.md,56,10-1,"Figure 10-1: Distributed audio-video alignment pipeline. Raw mixed videos in the video lake are split into visual and acoustic tracks. Visual-frame extractors and acoustic separators extract features independently before the streams meet in a temporal alignment engine, which produces aligned multimodal JSONL samples with closed timestamp constraints. Source: drawn for this book. Alt text: an audio-video alignment pipeline showing a raw video split into visual, audio, and text tracks and transformed into JSONL by a temporal alignment engine",Figure 10-1: Distributed audio-video alignment pipeline,docs/images/part3/av_sample_pipeline.svg,yes,768x768,svg,"an audio-video alignment pipeline showing a raw video split into visual, audio, and text tracks and transformed into JSONL by a temporal alignment engine.","Review against the figure and surrounding text in Chapter 10: Video and Audio Data Engineering; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图10-1：音视频对齐分布式管线图（Audio-Video Pipeline: Temporal Alignment） —— 左侧原始 Video Lake 中的混合视频被剥离为视觉（Visual Track）和声学（Acoustic Track）双轨并行管线，视觉帧提取器与声学分离器各自提取特征后，最终汇集入跨模态时间对齐引擎（Temporal Alignment Engine），生成带时间戳闭合约束的多模态输入样本（Aligned Multimodal JSONL）。来源：本书自绘；Alt text：音视频对齐分布式管线图，展示原始视频被拆分为视觉轨、音频轨和文本轨，并通过时间对齐引擎生成 JSONL 样本,图10-1：音视频对齐分布式管线图
ALT-0022,en,Part 3: Multimodal Data Engineering,Ch10,Chapter 10: Video and Audio Data Engineering,docs/en/part3/ch10_video_audio.md,68,10-2,"Figure 10-2: Adaptive shot-boundary detection and semantic leakage prevention. The upper track extracts aggregated HSV-channel color-space differences, while the lower track extracts optical-flow pixel displacement to capture subtle motion posture. The two tensor differences flow into dual-threshold triage. When the jump score $\Delta$ exceeds the hard-cut threshold, the engine splits the clip and prevents semantic leakage across scenes. Source: drawn for this book. Alt text: adaptive shot-boundary detection showing HSV difference, optical-flow difference, and dual-threshold routing",Figure 10-2: Adaptive shot-boundary detection and semantic leakage prevention,docs/images/part3/av_shot_boundary_hsv.svg,yes,840x768,svg,"adaptive shot-boundary detection showing HSV difference, optical-flow difference, and dual-threshold routing.",,no,Draft,,,图10-2：自适应镜头边界检测与语义防泄漏架构图（Adaptive Shot Boundary Detection & Semantic Leakage Prevention） —— 展示双轨特征侦测逻辑：上层提取 HSV 多通道色彩空间聚合差分，下层提取光流像素位移（Optical Flow）以捕捉细微运动姿态。两种张量差分在右侧汇入“双重阈值路由（Dual-Threshold Triage）”。当突变分值 $\Delta$ 超过硬切阈值（Hard Cut Threshold）时，引擎切分片段，避免场景转换导致视觉切片语义泄漏。来源：本书自绘；Alt text：自适应镜头边界检测图，展示 HSV 差分、光流差分和双阈值路由如何共同判断镜头切分点,图10-2：自适应镜头边界检测与语义防泄漏架构图
